cole_area_ubicacion,cole_bilingue,edad_presentacion,estu_genero,fami_educacionmadre_cod,fami_educacionpadre_cod,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,punt_total
RURAL,No se sabe,18,F,10,12,Estrato 6,3 a 4,Si,Si,320
URBANO,S,18,F,4,4,Estrato 4,5 a 6,Si,Si,340
URBANO,S,18,M,11,10,Estrato 6,3 a 4,Si,Si,400
URBANO,S,18,F,10,10,Estrato 6,3 a 4,Si,Si,320
URBANO,S,20,F,12,10,Estrato 6,5 a 6,Si,Si,320
URBANO,S,20,F,12,11,Estrato 6,3 a 4,Si,Si,360
URBANO,S,18,M,12,12,Estrato 5,5 a 6,Si,Si,320
URBANO,S,18,F,11,10,Estrato 3,3 a 4,Si,Si,320
RURAL,No se sabe,20,F,10,12,Estrato 6,5 a 6,Si,Si,360
URBANO,No se sabe,18,M,8,10,Estrato 4,5 a 6,Si,Si,380
URBANO,S,20,F,10,10,Estrato 6,3 a 4,Si,Si,340
RURAL,No se sabe,18,M,8,12,Estrato 4,5 a 6,Si,Si,360
URBANO,No se sabe,18,F,10,10,Estrato 3,3 a 4,Si,Si,360
URBANO,S,20,F,8,8,Sin Estrato,5 a 6,Si,Si,380
URBANO,No se sabe,18,F,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,No se sabe,18,M,10,9,Estrato 3,3 a 4,Si,Si,240
URBANO,S,18,M,10,12,Estrato 5,3 a 4,Si,Si,400
URBANO,N,18,M,10,10,Estrato 3,5 a 6,Si,Si,400
RURAL,No se sabe,20,F,10,8,Estrato 6,3 a 4,Si,Si,300
URBANO,No se sabe,20,F,3,3,Estrato 2,9 o mas,No,Si,200
RURAL,No se sabe,20,M,10,10,Estrato 6,7 a 8,Si,Si,360
URBANO,S,18,M,2,2,Sin Estrato,9 o mas,No,No,260
URBANO,No se sabe,18,M,10,7,Estrato 6,5 a 6,Si,Si,320
URBANO,N,18,M,6,6,Estrato 6,3 a 4,Si,Si,320
URBANO,S,18,F,12,12,Estrato 6,5 a 6,Si,Si,300
URBANO,N,20,F,10,10,Estrato 4,3 a 4,Si,Si,320
RURAL,No se sabe,18,M,10,12,Estrato 6,3 a 4,Si,Si,440
URBANO,N,18,M,10,11,Estrato 5,3 a 4,Si,Si,220
URBANO,No se sabe,18,F,10,10,Estrato 5,5 a 6,Si,Si,320
URBANO,S,18,F,10,10,Estrato 6,5 a 6,Si,Si,340
URBANO,S,16,F,12,12,Estrato 4,3 a 4,Si,Si,300
URBANO,No se sabe,18,F,12,3,Estrato 3,3 a 4,Si,Si,360
URBANO,S,18,F,10,10,Estrato 3,5 a 6,Si,Si,400
URBANO,S,16,M,10,12,Estrato 5,5 a 6,Si,Si,300
URBANO,No se sabe,18,M,10,6,Estrato 4,3 a 4,Si,Si,300
URBANO,N,18,F,10,10,Estrato 6,3 a 4,Si,Si,400
URBANO,S,20,M,10,10,Estrato 4,3 a 4,Si,Si,360
URBANO,S,18,M,10,10,Estrato 5,5 a 6,Si,Si,340
RURAL,No se sabe,18,F,10,10,Estrato 6,5 a 6,Si,Si,300
URBANO,S,18,M,8,10,Estrato 5,5 a 6,Si,Si,320
URBANO,S,18,M,9,6,Estrato 6,5 a 6,Si,Si,280
RURAL,No se sabe,18,F,10,12,Estrato 6,5 a 6,Si,Si,340
URBANO,No se sabe,18,M,10,12,Estrato 4,3 a 4,Si,Si,400
URBANO,No se sabe,18,M,12,12,Estrato 3,3 a 4,Si,Si,380
URBANO,S,20,M,10,10,Estrato 6,1 a 2,Si,Si,380
URBANO,No se sabe,18,F,12,12,Estrato 6,5 a 6,Si,Si,320
RURAL,No se sabe,18,F,10,10,Estrato 3,3 a 4,Si,Si,340
RURAL,No se sabe,18,F,10,10,Estrato 5,3 a 4,Si,Si,320
RURAL,No se sabe,18,F,6,12,Estrato 6,1 a 2,Si,Si,320
URBANO,S,18,F,12,11,Estrato 6,1 a 2,Si,Si,320
URBANO,N,18,M,8,12,Estrato 3,3 a 4,Si,Si,360
